Time,"Query Time (ms)","Render Time (ms)",Token,IP,Method,URL,Queries,"Managed Entities"
"2025-07-18 16:56:14",2.39,21.46,010432,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:14",5.05,25.65,13f986,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",6.79,26.52,651603,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",5.56,26.10,3b3b4e,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",4.82,25.88,087d24,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",5.24,25.10,fa9ab4,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",6.19,28.75,f63bd1,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",6.76,30.03,2e9eb4,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",5.54,26.51,c17c01,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",4.75,27.09,a570f8,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",5.66,29.21,f75faa,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",6.44,28.96,441b80,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",7.41,28.91,d3e611,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",6.38,31.28,44fa29,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",6.18,27.04,2b867b,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",5.38,25.36,df9170,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",5.18,26.01,f4daea,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",5.48,25.28,ac0448,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",4.32,24.94,a484bc,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",4.36,24.48,0a54fb,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",5.66,25.72,77c6fc,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",5.39,26.84,a77fcc,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",5.85,27.53,baf6bd,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",7.58,32.23,cad87e,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:13",5.86,29.09,9b176d,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",6.03,27.50,ed40db,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",7.51,28.93,af349e,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",4.45,26.77,7e4cd6,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",7.99,27.68,16528f,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",4.63,25.36,40fe5c,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",5.56,25.62,1a0443,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",4.92,26.63,4733b9,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",6.86,30.85,8822d1,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",6.53,29.60,7770ba,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",6.66,28.58,56b43e,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",7.04,28.21,6a3cef,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",6.43,32.37,bceb10,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",5.62,28.16,be926c,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",5.72,28.48,9faaf8,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",6.36,28.47,b1c745,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",6.36,28.92,44c54f,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",6.79,28.87,903b54,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",7.39,28.81,2a1dc1,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",4.88,26.42,2b92ac,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",5.52,28.33,a1e803,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",5.31,27.71,a65038,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:12",6.88,30.43,49b721,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:11",5.57,27.74,37bba6,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:11",5.45,28.44,a6611c,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:11",6.82,30.26,515de5,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:11",5.25,27.40,16b038,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:11",6.56,29.69,ff5212,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:11",6.58,29.58,64de3b,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:11",5.15,27.94,719470,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
"2025-07-18 16:56:11",6.34,30.65,24686c,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest,3,16
