Time,"Query Time (ms)","Render Time (ms)",Token,IP,Method,URL,Queries,"Managed Entities"
"2025-07-18 16:57:01",5.97,26.89,273afe,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-07-18 16:57:01",4.11,25.86,aca394,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-07-18 16:57:01",4.62,25.24,66265a,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-07-18 16:57:01",5.60,30.23,e4891a,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-07-18 16:57:01",5.24,27.58,f308e6,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-07-18 16:57:01",6.80,28.28,285951,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-07-18 16:57:01",5.38,26.61,c9dedb,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-07-18 16:57:01",6.49,28.06,e3539d,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-07-18 16:57:01",6.90,28.80,cb7a40,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-07-18 16:57:01",5.93,29.39,7dc902,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-07-18 16:57:01",5.66,28.89,3202f2,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-07-18 16:57:01",5.61,30.57,df376f,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-07-18 16:57:01",5.64,26.33,8508b6,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-07-18 16:57:00",6.36,27.58,45f886,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-07-18 16:57:00",5.83,27.74,3e7d16,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-07-18 16:57:00",6.22,28.29,c6e4dc,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
